CHELSA_bio10_01_b1,FAPAR_mean_January,FAPAR_mean_June,precipitation,elevation,landcover_cropland_precentage,landcover_class,landsat8_nir,landsat8_red,landsat8_swir1,landsat8_swir2,pH,sentinel2_band_2,sentinel2_band_4,sentinel2_band_9
193,621.6,628,15008.91667,1681,11,4,65,20,62,39,6.4,28,37,123
173,385.4583333,556,15157.66667,2201,52,4,67,45,105,81,6.8,31,45,96
202,401.2727273,597.1666667,15188.5,1541,22,4,64,31,82,52,,17,27,146
295,168.3265306,212.2941176,15771.58333,387,0,3,49,59,72,68,8.1,23,41,10000000000
220,438.1111111,587.3333333,15225.25,1114,27,4,66,29,67,38,7.5,15,18,130
277,113.8387097,119.6610169,15677.08333,749,0,7,61,94,105,108,7.7,57,95,121
248,366.3174603,580.4,15048.16667,430,3,8,75,54,105,85,6.8,32,61,127
248,366.3174603,580.4,15048.16667,430,3,8,75,54,105,85,6.7,32,61,127
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,6.5,52,116,183
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,7.1,52,116,183
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,7.6,52,116,183
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,7.7,52,116,183
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,7.8,52,116,183
292,84.58585859,47.56,15539.33333,301,0,4,93,114,180,165,8.7,52,116,183
283,181.6515152,221.5882353,15423.75,333,15,1,67,40,94,71,4.6,21,40,125
283,181.6515152,221.5882353,15423.75,333,15,1,67,40,94,71,4.8,21,40,125
283,181.6515152,221.5882353,15423.75,333,15,1,67,40,94,71,5.1,21,40,125
283,181.6515152,221.5882353,15423.75,333,15,1,67,40,94,71,5,21,40,125
283,181.6515152,221.5882353,15423.75,333,15,1,67,40,94,71,5.2,21,40,125
268,233.1212121,635,15168.66667,66,26,3,69,32,87,54,6.4,27,31,129
268,233.1212121,635,15168.66667,66,26,3,69,32,87,54,5.8,27,31,129
269,341.4027778,570.0113816,15129.75,16,26,3,68,32,87,49,5.4,29,33,82
269,341.4027778,570.0113816,15129.75,16,26,3,68,32,87,49,4.5,29,33,82
269,341.4027778,570.0113816,15129.75,16,26,3,68,32,87,49,4.5,29,33,82
261,250.8107513,563.1881862,15189.33333,252,5,1,81,25,83,44,5.3,18,19,118
267,335.5178571,604,15149.58333,69,22,1,79,35,86,52,5.2,32,44,126
267,335.5178571,604,15149.58333,69,22,1,79,35,86,52,5.1,32,44,126
268,259.21545,566.9401507,15234.16667,91,71,4,63,30,71,40,5.8,22,32,127
269,261.3324923,567.796777,15207.41667,64,27,4,70,33,92,57,5.6,30,35,126
269,261.3324923,567.796777,15207.41667,64,27,4,70,33,92,57,5.8,30,35,126
263,253.2631205,563.616698,15125.41667,180,8,1,87,16,73,34,5.7,19,20,137
269,259.21545,566.9401507,15208.91667,64,69,4,89,29,94,52,6.6,27,41,121
269,259.21545,566.9401507,15208.91667,64,69,4,89,29,94,52,6.1,27,41,121
261,254.2862189,564.2696864,15172.83333,218,27,1,76,32,87,55,6.6,23,29,114
264,338.375,601,15215.16667,138,40,3,84,38,90,58,5.3,22,29,129
264,338.375,601,15215.16667,138,40,3,84,38,90,58,5.2,22,29,129
269,259.2359725,567.2347123,15219.58333,60,53,4,75,37,102,70,5.6,17,22,113
266,252.9492608,563.990749,15219.66667,104,70,4,77,39,87,59,5.6,18,28,126
266,252.9492608,563.990749,15219.66667,104,70,4,77,39,87,59,5.5,18,28,126
263,272.4594595,568.1810456,15166.08333,129,25,1,80,33,91,55,4.8,19,23,139
268,240.1090909,513.5,15256.41667,78,31,4,77,42,108,79,6.2,23,33,128
268,240.1090909,513.5,15256.41667,78,31,4,77,42,108,79,5.8,23,33,128
268,267.0847458,573.75,15202,94,75,4,85,30,92,51,5.8,23,30,127
264,263.0252587,568.19018,15165.41667,143,26,3,80,26,91,49,5.8,26,30,114
267,277.7346939,630,15194.58333,96,27,4,65,35,88,62,5.8,21,28,143
267,211.4603175,609.6666667,15187.25,123,4,1,67,27,72,41,6.3,24,31,113
267,211.4603175,609.6666667,15187.25,123,4,1,67,27,72,41,6.2,24,31,113
267,211.4603175,609.6666667,15187.25,123,4,1,67,27,72,41,6.1,24,31,113
267,211.4603175,609.6666667,15187.25,123,4,1,67,27,72,41,5.8,24,31,113
267,211.4603175,609.6666667,15187.25,123,4,1,67,27,72,41,5.8,24,31,113
266,256.4166667,629,15176.66667,140,14,1,70,27,73,40,#ERROR,22,29,108
266,256.4166667,629,15176.66667,140,14,1,70,27,73,40,6,22,29,108
266,256.4166667,629,15176.66667,140,14,1,70,27,73,40,5.9,22,29,108
266,256.4166667,629,15176.66667,140,14,1,70,27,73,40,5.4,22,29,108
268,233.3018868,622.8,15233.83333,127,59,4,75,31,91,53,5.6,21,25,119
268,233.3018868,622.8,15233.83333,127,59,4,75,31,91,53,5.7,21,25,119
268,233.3018868,622.8,15233.83333,127,59,4,75,31,91,53,5.7,21,25,119
268,233.3018868,622.8,15233.83333,127,59,4,75,31,91,53,5.5,21,25,119
268,233.3018868,622.8,15233.83333,127,59,4,75,31,91,53,5.6,21,25,119
270,260.3333333,630.3333333,15215.08333,48,32,4,69,29,83,47,4.4,21,26,129
262,274.9701493,565.6666667,15218.66667,189,70,4,56,29,75,52,7.6,20,27,116
262,274.9701493,565.6666667,15218.66667,189,70,4,56,29,75,52,7.4,20,27,116
262,274.9701493,565.6666667,15218.66667,189,70,4,56,29,75,52,7.2,20,27,116
262,274.9701493,565.6666667,15218.66667,189,70,4,56,29,75,52,5.8,20,27,116
262,296.0789474,569.6965532,15162.41667,144,63,4,81,30,93,55,5.4,22,28,142
262,268.796875,600,15108.83333,189,0,1,83,18,68,33,5.6,16,16,120
262,268.796875,600,15108.83333,189,0,1,83,18,68,33,5.2,16,16,120
271,250.6186259,562.1487707,15215.5,61,22,1,64,24,64,33,6.5,19,19,136
271,250.6186259,562.1487707,15215.5,61,22,1,64,24,64,33,5.8,19,19,136
